geo_point_2d;geo_shape;objectid_1;codeunique;nom_long;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;mode;train;rer;metro;tramway;val;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y
48.94820812847935, 2.3574615262620204;"{""coordinates"": [2.35746152626202, 48.94820812847935], ""type"": ""Point""}";811;1712;Guynemer;Stade Auguste Delaune;;72365;Guynemer;50685;Guynemer;A01760;C01684;TRAM 5;TRAM;0;0;0;1;0;0;0;0;0;0;RATP;1;1;652937.9594;6872218.5597
48.75021318633971, 2.3543918069383967;"{""coordinates"": [2.354391806938397, 48.75021318633971], ""type"": ""Point""}";814;1801;Saarinen;Parc Silic Nord;;69700;Saarinen;52184;Saarinen;A02134;C01774;TRAM 7;TRAM;0;0;0;1;0;0;0;0;0;0;RATP;1;0;652533.1229;6850205.2141
48.78310755044937, 2.3671578333156633;"{""coordinates"": [2.367157833315663, 48.78310755044937], ""type"": ""Point""}";818;1812;Lamartine;;;70036;Lamartine;53692;Lamartine;A02134;C01774;TRAM 7;TRAM;0;0;0;1;0;0;0;0;0;0;RATP;1;0;653501.0075;6853854.8962
48.93560570925152, 2.334332913159428;"{""coordinates"": [2.334332913159428, 48.93560570925152], ""type"": ""Point""}";824;1027;Mairie de Villeneuve-la-Garenne;;;72324;Mairie;46332;Mairie de Villeneuve-la-Garenne;A01191;C01389;TRAM 1;TRAM;0;0;0;1;0;0;0;0;0;0;RATP;1;1;651232.1542;6870831.2069
48.952726329897715, 2.3434612795268257;"{""coordinates"": [2.343461279526826, 48.952726329897715], ""type"": ""Point""}";828;117063;Jean Vilar;;;72378;Jean Vilar;59327;Jean Vilar;A02150;C01795;TRAM 8;TRAM;0;0;0;1;0;0;0;0;0;0;RATP;1;1;651916.7273;6872729.4221
48.95587687488742, 2.3115263086926325;"{""coordinates"": [2.311526308692633, 48.95587687488742], ""type"": ""Point""}";832;117070;Lacépède;;;72379;Lacépède;50564;Lacépède;A02150;C01795;TRAM 8;TRAM;0;0;0;1;0;0;0;0;0;0;RATP;1;1;649581.0016;6873099.6844
48.7903330019282, 2.2633891660151555;"{""coordinates"": [2.263389166015155, 48.7903330019282], ""type"": ""Point""}";840;117054;Soleil Levant;;;70186;Soleil Levant;44838;Soleil Levant;A02149;C01794;TRAM 6;TRAM;0;0;0;1;0;0;0;0;0;0;RATP;1;0;645884.1547;6854724.362
48.78490216629836, 2.237132704968192;"{""coordinates"": [2.237132704968192, 48.78490216629836], ""type"": ""Point""}";842;117050;Georges Pompidou;;;70149;Georges Pompidou;50800;Georges Pompidou;A02149;C01794;TRAM 6;TRAM;0;0;0;1;0;0;0;0;0;0;RATP;1;0;643949.423;6854138.8606
48.780087151988496, 2.196505812489855;"{""coordinates"": [2.196505812489855, 48.780087151988496], ""type"": ""Point""}";845;117044;Louvois;;;63703;Louvois;43830;Louvois;A02149;C01794;TRAM 6;TRAM;0;0;0;1;0;0;0;0;0;0;RATP;1;0;640959.0733;6853633.1244
48.896664396318826, 2.240079252051399;"{""coordinates"": [2.240079252051399, 48.896664396318826], ""type"": ""Point""}";851;1505;Faubourg de l'Arche;;;72063;Faubourg de l'Arche;479058;Faubourg de l'Arche;A01192;C01390;TRAM 2;TRAM;0;0;0;1;0;0;0;0;0;0;RATP;1;1;644285.5052;6866563.4258
